year,East Coast,Florida Field,New York Field,Pennsylvania Field,Virginia Field,West Virginia Field,Midwest Field,Illinois Field,Indiana Field,Kansas Field,Kentucky Field,Michigan Field,Missouri Field,Nebraska Field,North Dakota Field,Ohio Field,Oklahoma Field,South Dakota Field,Tennessee Field,Gulf Coast Field,Alabama Field,Arkansas Field,Louisiana Field,Mississippi Field,New Mexico Field,Texas Field,Gulf of Mexico Field,Rocky Mountain Field,Colorado Field,Idaho Field,Montana Field,Utah Field,Wyoming Field ,West Coast Field,Alaska Field,Alaska South Field,Alaska North Slope,Arizona Field,California Field,Nevada Field,Federal Offshore Field
1981,0.006257355266973820000000000000 ,0.005080366450266890000000000000 ,0.000122870853382638000000000000 ,0.000544810240503990000000000000 ,0.000001899311645629360000000000 ,0.000507408411174673000000000000 ,0.051961221900232100000000000000 ,0.003519570580247010000000000000 ,0.000689742329155091000000000000 ,0.009614899953759070000000000000 ,0.000956668665813924000000000000 ,0.004772385761883300000000000000 ,0.000033018802454787300000000000 ,0.000974639075999494000000000000 ,0.006636487091620600000000000000 ,0.001979813239224880000000000000 ,0.022507719606082800000000000000 ,0.000142156171630566000000000000 ,0.000134120622360596000000000000 ,0.224885949988202000000000000000 ,0.003021366525508850000000000000 ,0.002681243640045380000000000000 ,0.029158670686389300000000000000 ,0.004997235040546650000000000000 ,0.010456148911877100000000000000 ,0.136217170215579000000000000000 ,0.038354114968255900000000000000 ,0.031782642775274200000000000000 ,0.004427295445962030000000000000 ,0.000000000000000000000000000000 ,0.004501806902829020000000000000 ,0.003778169165844240000000000000 ,0.019075371260638900000000000000 ,0.142207599145894000000000000000 ,0.085810461846846800000000000000 ,0.004539647034845790000000000000 ,0.081270814812001000000000000000 ,0.000052158019806898400000000000 ,0.053380884304892100000000000000 ,0.000102270627072350000000000000 ,0.002861824347275990000000000000 ,
1982,0.004907145350631970000000000000 ,0.003696587299526570000000000000 ,0.000120305697643220000000000000 ,0.000617684649050681000000000000 ,0.000007068320365129240000000000 ,0.000465499384046368000000000000 ,0.053724427826679000000000000000 ,0.003997207292198590000000000000 ,0.000802470738596203000000000000 ,0.010173332525525300000000000000 ,0.001060103803333360000000000000 ,0.004538438680157060000000000000 ,0.000029138790076655200000000000 ,0.000991295868350369000000000000 ,0.006818909632245390000000000000 ,0.002101887674291800000000000000 ,0.022881307033411500000000000000 ,0.000167043162914687000000000000 ,0.000163292625578088000000000000 ,0.220217848518682000000000000000 ,0.002887048240565230000000000000 ,0.002718995317598390000000000000 ,0.027227314297913800000000000000 ,0.004767077206253590000000000000 ,0.010245313992100800000000000000 ,0.131011606470542000000000000000 ,0.041360492993707800000000000000 ,0.029168505872476000000000000000 ,0.004406160113323930000000000000 ,0.000000000000000000000000000000 ,0.004460398653268590000000000000 ,0.003237002224357140000000000000 ,0.017064944881526300000000000000 ,0.147342744297019000000000000000 ,0.089278656269023200000000000000 ,0.003953066352775540000000000000 ,0.085325589916247600000000000000 ,0.000048324231067720300000000000 ,0.053831173889336100000000000000 ,0.000088426130282127000000000000 ,0.004096163777310400000000000000 ,
1983,0.004059117118345470000000000000 ,0.002795253694819900000000000000 ,0.000119267602197337000000000000 ,0.000614565430335736000000000000 ,0.000009328994155026350000000000 ,0.000520701396837471000000000000 ,0.054377845791726600000000000000 ,0.004190871220411840000000000000 ,0.000763685813829157000000000000 ,0.010275384731307000000000000000 ,0.001131822275485200000000000000 ,0.004554845515444870000000000000 ,0.000038607683503109100000000000 ,0.000915676657062587000000000000 ,0.007275180211050550000000000000 ,0.002148682638383070000000000000 ,0.022763319830212300000000000000 ,0.000168208940764475000000000000 ,0.000151560274272428000000000000 ,0.219082672828587000000000000000 ,0.002690481914309600000000000000 ,0.002705264781970640000000000000 ,0.025779168356051800000000000000 ,0.004514515556097750000000000000 ,0.010788479409833500000000000000 ,0.126718023975515000000000000000 ,0.045886738834808600000000000000 ,0.029581809896627600000000000000 ,0.004169342772361780000000000000 ,0.000000000000000000000000000000 ,0.004194459295086850000000000000 ,0.004238807898069970000000000000 ,0.016979199931109000000000000000 ,0.148009802620012000000000000000 ,0.089777503489402600000000000000 ,0.003554920865013040000000000000 ,0.086222582624389600000000000000 ,0.000034014947919096100000000000 ,0.053700704339058700000000000000 ,0.000116253619470328000000000000 ,0.004381326224161380000000000000 ,
1984,0.003245816533523480000000000000 ,0.002028389884531010000000000000 ,0.000117815482160562000000000000 ,0.000600858959018866000000000000 ,0.000004488208844211890000000000 ,0.000494263998968834000000000000 ,0.055227269571500900000000000000 ,0.004048925403584650000000000000 ,0.000775057564784840000000000000 ,0.010621486486353800000000000000 ,0.001090775005669870000000000000 ,0.004285397907064060000000000000 ,0.000039973110018762100000000000 ,0.000904935108214222000000000000 ,0.007384786627045130000000000000 ,0.002141857414373740000000000000 ,0.023617095194769300000000000000 ,0.000187943745351373000000000000 ,0.000129036004271092000000000000 ,0.220299242909296000000000000000 ,0.002777640248461630000000000000 ,0.002627004739127770000000000000 ,0.026229513255153400000000000000 ,0.004597047908684020000000000000 ,0.011127391777012300000000000000 ,0.123870917430562000000000000000 ,0.049069727550294900000000000000 ,0.030514770905691100000000000000 ,0.004045699503477870000000000000 ,0.000000000000000000000000000000 ,0.004174174481643440000000000000 ,0.004865358643652070000000000000 ,0.017429538276917700000000000000 ,0.146503972836238000000000000000 ,0.088417854487500500000000000000 ,0.003083259219447180000000000000 ,0.085334595268053400000000000000 ,0.000030155153172048600000000000 ,0.053524835854280800000000000000 ,0.000267469195809752000000000000 ,0.004263658145474910000000000000 ,
1985,0.002905061009607450000000000000 ,0.001588005774919240000000000000 ,0.000148433774213519000000000000 ,0.000672317683202411000000000000 ,0.000003603434294632590000000000 ,0.000492700342977648000000000000 ,0.053231317336579800000000000000 ,0.004194536112579050000000000000 ,0.000716251862871585000000000000 ,0.010450929609821500000000000000 ,0.001079644352122610000000000000 ,0.003783606009364220000000000000 ,0.000033678251292143000000000000 ,0.000962255550293617000000000000 ,0.007048456073928060000000000000 ,0.002077241277228970000000000000 ,0.022554588218238900000000000000 ,0.000221195428239754000000000000 ,0.000108934590599277000000000000 ,0.214385768984659000000000000000 ,0.002990989058171760000000000000 ,0.002639377027191650000000000000 ,0.025557912109188500000000000000 ,0.004246647316224500000000000000 ,0.010883757506057600000000000000 ,0.120468075027383000000000000000 ,0.047599010940442300000000000000 ,0.031782290478659400000000000000 ,0.004191902833671430000000000000 ,0.000000000000000000000000000000 ,0.004125655080100880000000000000 ,0.005653511221025100000000000000 ,0.017811221343862000000000000000 ,0.151527738336342000000000000000 ,0.092335647708305900000000000000 ,0.002348607598340150000000000000 ,0.089987040109965700000000000000 ,0.000024253884675411600000000000 ,0.054606166113608800000000000000 ,0.000421186031591863000000000000 ,0.004140484598159560000000000000 ,
1986,0.002448341448873240000000000000 ,0.001337026412220790000000000000 ,0.000121547855656435000000000000 ,0.000539056902635750000000000000 ,0.000002564901995094770000000000 ,0.000448145376365169000000000000 ,0.049704095806499200000000000000 ,0.003882264158686500000000000000 ,0.000678131588592000000000000000 ,0.009551980018843480000000000000 ,0.000922652245457701000000000000 ,0.003660400136110800000000000000 ,0.000015674401081134700000000000 ,0.001011426353399040000000000000 ,0.006501741568454670000000000000 ,0.001915411812114660000000000000 ,0.021246650665478100000000000000 ,0.000225996364678906000000000000 ,0.000091766493602279500000000000 ,0.212932891334222000000000000000 ,0.003009769996688430000000000000 ,0.002248279093255850000000000000 ,0.025904227699459600000000000000 ,0.004274409174825430000000000000 ,0.010788547769589700000000000000 ,0.116787825037205000000000000000 ,0.049919832563197800000000000000 ,0.030905359106228600000000000000 ,0.004176372920790700000000000000 ,0.000000000000000000000000000000 ,0.003857612600622530000000000000 ,0.005581796719547350000000000000 ,0.017289861854378500000000000000 ,0.155467687079677000000000000000 ,0.097082965459889800000000000000 ,0.002504199314544190000000000000 ,0.094578766145345600000000000000 ,0.000022941623400569900000000000 ,0.053871349075751800000000000000 ,0.000414231672207805000000000000 ,0.004076199248426720000000000000 ,
1987,0.002222087140937060000000000000 ,0.001214410119115260000000000000 ,0.000104247513549974000000000000 ,0.000484824351749317000000000000 ,0.000002349239741971250000000000 ,0.000416255916780531000000000000 ,0.046347710386899200000000000000 ,0.003520923063279420000000000000 ,0.000548841134718034000000000000 ,0.008792763871746780000000000000 ,0.000843230239883807000000000000 ,0.003813403411154840000000000000 ,0.000016004195742179200000000000 ,0.000894473031755555000000000000 ,0.006071463285640830000000000000 ,0.001784394411511040000000000000 ,0.019730383627913300000000000000 ,0.000241237556003673000000000000 ,0.000090152075098146800000000000 ,0.205084811959510000000000000000 ,0.003025673960175100000000000000 ,0.002089648750483430000000000000 ,0.025698774019875200000000000000 ,0.004126292779288630000000000000 ,0.010619738253581000000000000000 ,0.111730135783121000000000000000 ,0.047794842067953500000000000000 ,0.030087153857877500000000000000 ,0.004228925190516000000000000000 ,0.000000000000000000000000000000 ,0.003679496745862480000000000000 ,0.005254808820338070000000000000 ,0.016924216756128700000000000000 ,0.163696787150363000000000000000 ,0.105121724388955000000000000000 ,0.002371263864552230000000000000 ,0.102750901006855000000000000000 ,0.000019087572903516400000000000 ,0.053534622067524800000000000000 ,0.000456927129813409000000000000 ,0.004565013301101760000000000000 ,
1988,0.002059018015063630000000000000 ,0.001156592292331580000000000000 ,0.000084075075607834400000000000 ,0.000422018052695808000000000000 ,0.000003733351492354990000000000 ,0.000391553904518192000000000000 ,0.045097990023290100000000000000 ,0.003356432325686830000000000000 ,0.000547309328779242000000000000 ,0.008784576061511300000000000000 ,0.000815214631870636000000000000 ,0.003472016887890140000000000000 ,0.000023445447371989400000000000 ,0.000892719008851926000000000000 ,0.005875249910548900000000000000 ,0.001749448509317550000000000000 ,0.019244978940910900000000000000 ,0.000247894539092371000000000000 ,0.000089749769876214000000000000 ,0.199084851015382000000000000000 ,0.003105700439460270000000000000 ,0.002031689882139590000000000000 ,0.024640866519841400000000000000 ,0.004114601346754280000000000000 ,0.010637662408256600000000000000 ,0.109834454234785000000000000000 ,0.044719577516025000000000000000 ,0.030269117895656100000000000000 ,0.004831106165167050000000000000 ,0.000000000000000000000000000000 ,0.003485606287322310000000000000 ,0.004930413314863700000000000000 ,0.017021693460183700000000000000 ,0.168374152305210000000000000000 ,0.110230040158915000000000000000 ,0.002344096735019850000000000000 ,0.107885943423895000000000000000 ,0.000017024082805138800000000000 ,0.052973420329383100000000000000 ,0.000482498346871959000000000000 ,0.004671468055353950000000000000 ,
1989,0.002042930540682050000000000000 ,0.001167823755864750000000000000 ,0.000079788205572869700000000000 ,0.000432266222159844000000000000 ,0.000003684997446136550000000000 ,0.000359367359638447000000000000 ,0.044719366616230300000000000000 ,0.003264907737276990000000000000 ,0.000530479414963397000000000000 ,0.008889655795603770000000000000 ,0.000867416355364491000000000000 ,0.003455566300794490000000000000 ,0.000021308898275485300000000000 ,0.000998153656062205000000000000 ,0.005887023746123540000000000000 ,0.001636619517925430000000000000 ,0.018824408910387900000000000000 ,0.000258270255790092000000000000 ,0.000085235593101941100000000000 ,0.199883714297982000000000000000 ,0.003174384973926240000000000000 ,0.001804206793084510000000000000 ,0.024560507978500100000000000000 ,0.004390434131151300000000000000 ,0.011009170196253400000000000000 ,0.110256565543928000000000000000 ,0.044688925332979600000000000000 ,0.030079031980010000000000000000 ,0.004911460726578960000000000000 ,0.000000000000000000000000000000 ,0.003357513325271200000000000000 ,0.004552574018781310000000000000 ,0.017257804343939100000000000000 ,0.168482088669370000000000000000 ,0.109585255139610000000000000000 ,0.002462539597700820000000000000 ,0.107123196193750000000000000000 ,0.000021949767396552500000000000 ,0.053059797575079400000000000000 ,0.000515258773338050000000000000 ,0.005299346762104900000000000000 ,
1990,0.001810633106630230000000000000 ,0.000943211206180152000000000000 ,0.000068974916399077200000000000 ,0.000438946395686658000000000000 ,0.000002659273885265630000000000 ,0.000356176496007765000000000000 ,0.044984443247771200000000000000 ,0.003316446944161900000000000000 ,0.000498613853487305000000000000 ,0.009212389557031450000000000000 ,0.000899000777837611000000000000 ,0.003270242060405410000000000000 ,0.000024265874203048900000000000 ,0.000978778994395580000000000000 ,0.006102534952831130000000000000 ,0.001663375815233650000000000000 ,0.018660291057526700000000000000 ,0.000273905210182360000000000000 ,0.000084099536621525500000000000 ,0.202615229661541000000000000000 ,0.003081101205315890000000000000 ,0.001726201160773050000000000000 ,0.024528809908454500000000000000 ,0.004493175638391940000000000000 ,0.011177260549007100000000000000 ,0.112766176695453000000000000000 ,0.044842670708763000000000000000 ,0.030203201765757900000000000000 ,0.005061429226749640000000000000 ,0.000000000000000000000000000000 ,0.003292513479194510000000000000 ,0.004587912270554530000000000000 ,0.017261346789259200000000000000 ,0.166594201453293000000000000000 ,0.107585744962338000000000000000 ,0.001852682874941000000000000000 ,0.105733560701251000000000000000 ,0.000020110758757321300000000000 ,0.053329743313588200000000000000 ,0.000666646722112527000000000000 ,0.004991290878025760000000000000 ,
